,0,1,2,3,4,5,6
1,77,99,76,77,77,77,99
2,74,99,74,88,99,74,74
3,88,99,88,99,88,99,88
4,80,99,99,73,99,99,99
5,80,78,80,80,99,88,80
6,80,99,99,80,80,99,99
7,99,80,80,87,99,87,87
8,80,80,99,76,77,99,80
9,99,99,80,80,80,99,80
10,89,100,80,100,89,89,80
11,88,88,78,78,88,99,88
12,88,88,99,88,99,78,78
13,77,99,99,99,99,77,77
14,86,98,98,98,98,80,98
15,100,100,100,100,100,80,80
16,86,77,86,86,99,77,86
17,78,73,78,78,73,73,83
18,80,99,80,99,80,80,99
19,80,80,80,99,99,80,80
20,80,80,99,86,80,86,86
21,100,100,74,73,100,100,84
22,73,89,80,80,89,100,73
23,100,88,100,88,88,80,100
24,74,78,74,74,74,73,73
25,77,100,100,100,77,100,77
26,99,99,77,77,99,77,77
27,99,99,73,99,73,99,73
28,88,73,88,99,73,88,88
29,78,99,74,77,74,78,78
30,80,80,80,71,71,80,71
31,80,89,99,80,89,80,89
32,79,98,98,79,79,98,98
33,99,88,88,88,73,88,99
34,77,77,80,77,99,77,99
35,74,99,76,80,80,76,80
36,80,86,86,86,80,86,86
37,80,98,80,80,80,80,98
38,87,87,87,87,88,88,99
39,73,87,87,73,99,78,78
40,77,77,77,99,77,77,77
41,99,99,77,77,99,99,77
42,77,77,98,77,98,98,98
43,80,80,88,80,80,88,80
44,88,88,80,88,98,98,88
45,77,98,80,80,98,98,77
46,80,80,80,80,98,80,80
47,77,98,98,80,98,77,98
48,79,98,98,79,79,79,79
49,98,98,86,77,86,86,77
50,73,89,89,74,86,89,74
51,90,98,89,90,98,90,86
52,98,98,98,98,98,98,80
53,73,73,98,73,98,73,88
54,88,73,99,88,80,80,88
55,86,78,80,78,98,88,86
56,78,98,80,78,80,78,98
57,80,80,98,98,98,98,98
58,98,80,80,98,80,80,98
59,80,98,98,80,98,80,98
60,97,80,80,97,97,80,97
61,80,98,80,98,98,98,98
62,87,98,98,98,74,87,74
63,98,98,76,98,98,76,98
64,98,80,98,80,98,80,98
65,97,77,77,80,97,97,80
66,77,99,99,77,77,86,99
67,77,98,98,77,77,77,77
68,86,88,86,98,73,88,73
69,77,86,89,86,77,98,86
70,77,98,86,77,77,86,86
71,98,84,84,75,76,76,84
72,77,77,78,78,81,78,78
73,98,98,77,77,90,77,98
74,77,77,80,69,73,77,73
75,79,98,98,79,79,79,79
76,78,80,78,97,97,97,80
77,97,97,80,88,80,97,80
78,80,80,76,80,74,80,76
79,73,88,88,97,97,88,97
80,97,97,97,77,89,73,73
81,86,86,86,98,86,98,86
82,74,73,87,73,73,87,87
83,86,97,86,77,97,77,77
84,98,87,87,87,98,87,83
85,77,98,98,77,98,98,98
86,80,97,80,80,97,80,97
87,80,80,80,80,97,80,97
88,77,97,97,77,97,86,86
89,82,87,82,86,82,86,87
90,97,86,77,97,86,86,97
91,84,84,84,84,77,84,76
92,73,86,73,73,97,97,73
93,80,80,100,80,80,100,77
94,76,77,76,77,76,76,77
95,77,75,77,77,77,75,76
96,88,73,87,95,95,95,73
97,74,90,80,80,80,80,94
98,95,80,95,88,80,88,80
99,84,76,84,41,76,84,76
100,101,80,80,88,88,88,88
101,83,73,83,87,87,83,83
102,74,74,76,75,75,76,74
103,100,100,100,75,84,75,76
104,100,100,77,77,77,100,100
105,100,77,100,77,100,100,77
106,88,88,80,80,80,88,80
107,80,80,100,100,80,100,100
108,77,100,100,77,77,100,77
109,87,100,100,77,77,77,77
110,77,73,89,73,99,73,73
111,86,86,100,86,86,100,86
112,100,74,76,76,100,74,100
113,80,100,100,100,100,100,80
114,100,75,100,75,100,75,75
115,100,100,79,79,100,79,79
116,77,100,100,100,77,100,100
117,74,74,74,100,74,88,73
118,88,88,73,100,73,100,100
119,79,98,79,79,79,79,79
120,78,100,78,77,100,77,78
121,100,100,89,87,89,87,89
122,77,77,100,77,77,77,100
123,100,83,77,77,83,83,100
124,80,100,85,80,100,80,100
125,80,80,80,86,86,86,86
126,100,80,80,100,80,80,100
127,78,80,80,73,73,78,80
128,88,88,73,88,88,88,73
129,78,78,78,100,78,80,86
130,78,78,78,100,78,100,78
131,80,65,65,86,80,65,86
132,80,74,76,84,84,80,43
133,89,43,86,86,89,89,86
134,80,45,80,80,80,80,45
135,80,88,72,80,88,80,72
136,80,43,43,80,43,43,80
137,100,100,100,100,100,100,100
138,76,76,100,100,100,76,100
139,76,77,77,73,77,76,77
140,74,97,97,74,74,76,74
141,81,76,58,58,58,81,74
142,76,75,75,75,84,84,75
143,84,69,84,69,69,69,69
144,88,92,88,88,73,88,88
145,88,73,73,96,87,73,96
146,100,100,80,80,80,100,100
147,73,100,100,100,73,88,73
148,74,74,73,74,73,100,100
149,100,80,100,100,80,100,80
