,0,1,2,3,4,5,6
1,75,76,68,75,76,77,75
2,68,74,88,88,88,68,68
3,88,68,68,68,88,88,88
4,73,80,68,80,73,80,73
5,78,80,68,80,78,78,68
6,80,80,80,68,80,80,80
7,80,80,87,87,80,68,80
8,76,80,77,68,77,76,77
9,80,80,68,80,80,68,68
10,89,89,80,80,89,89,69
11,78,88,78,68,88,78,68
12,88,68,78,68,68,88,78
13,68,77,68,68,77,68,68
14,80,86,67,80,67,80,86
15,69,80,69,69,80,80,69
16,68,77,77,68,86,68,86
17,83,88,78,88,77,78,77
18,80,68,68,80,80,68,80
19,80,68,80,68,80,80,80
20,80,80,68,86,68,80,80
21,84,77,84,84,74,73,69
22,69,69,89,69,89,80,80
23,80,80,80,69,88,80,80
24,73,78,78,73,74,78,69
25,77,77,77,69,77,77,77
26,77,77,77,68,77,77,68
27,73,73,68,73,73,73,73
28,88,80,88,88,88,80,80
29,68,68,77,68,73,68,78
30,40,80,40,40,40,40,80
31,88,68,88,88,80,68,89
32,79,79,79,67,79,67,67
33,88,88,86,68,86,73,88
34,68,68,80,80,80,68,77
35,68,76,80,80,76,68,80
36,68,68,68,86,86,80,80
37,67,80,80,80,80,67,80
38,68,88,87,88,87,68,68
39,68,73,78,68,87,68,78
40,77,77,68,77,68,68,68
41,68,77,68,77,68,77,68
42,77,67,67,67,77,77,67
43,80,80,67,67,80,88,88
44,67,67,88,88,80,67,88
45,80,77,77,77,80,77,67
46,80,67,80,80,80,80,80
47,67,77,67,77,77,80,67
48,67,79,79,79,79,67,67
49,86,67,77,77,67,86,77
50,86,86,89,89,74,89,87
51,67,67,67,90,67,67,80
52,80,67,80,80,67,80,67
53,73,67,88,73,88,88,67
54,68,68,73,80,88,73,68
55,88,88,80,78,80,88,86
56,67,78,67,80,80,67,80
57,80,67,80,80,67,80,67
58,80,80,80,80,80,80,80
59,80,80,67,67,67,80,80
60,66,80,66,80,80,80,66
61,80,80,67,80,67,80,67
62,73,74,73,73,73,73,73
63,77,77,76,67,76,76,77
64,67,80,67,67,67,80,67
65,66,66,66,66,80,66,80
66,86,86,68,86,68,77,77
67,77,67,67,77,67,77,67
68,67,88,67,67,88,73,73
69,67,89,86,77,89,67,67
70,77,77,86,67,67,77,77
71,67,76,75,76,76,76,75
72,67,78,67,81,67,77,78
73,77,67,67,77,77,77,67
74,80,73,73,80,38,38,38
75,79,67,67,79,67,79,67
76,78,80,66,78,78,78,80
77,80,88,66,80,88,88,88
78,74,80,76,76,66,80,74
79,88,88,73,66,66,88,73
80,66,66,77,89,73,77,66
81,77,67,86,67,86,77,67
82,66,66,87,74,66,74,87
83,86,86,66,66,77,66,86
84,87,67,87,67,83,87,67
85,67,77,77,67,77,67,67
86,80,80,80,80,66,80,80
87,80,66,80,80,66,80,66
88,86,77,86,77,86,77,86
89,55,87,82,82,55,82,82
90,77,77,77,86,77,88,66
91,76,77,76,77,66,66,66
92,73,78,78,66,86,66,73
93,80,69,77,80,69,80,77
94,76,63,76,63,76,76,77
95,65,84,77,76,75,76,75
96,73,87,73,88,87,73,88
97,63,80,74,90,63,90,74
98,80,88,64,88,88,64,64
99,10,10,75,10,76,84,84
100,88,78,88,80,78,80,88
101,73,87,73,87,54,73,83
102,76,76,76,43,43,76,43
103,69,75,76,76,84,76,75
104,77,69,77,69,77,77,77
105,77,69,69,69,77,69,69
106,69,88,69,88,80,69,69
107,80,80,69,80,69,69,69
108,69,77,77,77,77,77,69
109,77,77,77,87,69,69,69
110,89,77,68,68,77,77,68
111,69,86,86,86,69,77,77
112,74,76,69,76,76,76,69
113,80,80,69,80,80,80,80
114,75,75,75,75,75,69,69
115,69,69,69,79,69,69,69
116,77,69,77,69,77,69,77
117,73,88,74,74,69,88,74
118,74,69,69,73,88,69,88
119,79,67,79,79,67,67,79
120,77,77,78,78,69,77,77
121,87,87,73,89,87,73,73
122,69,77,77,69,77,69,77
123,83,69,77,83,83,77,83
124,85,69,85,80,80,69,85
125,86,86,80,86,80,69,80
126,69,80,69,80,69,80,80
127,73,78,80,73,80,80,78
128,88,88,69,69,69,73,69
129,78,69,80,88,80,88,78
130,69,78,69,69,78,69,78
131,80,34,80,80,34,80,80
132,74,80,80,76,76,80,84
133,80,89,12,86,89,86,86
134,80,80,14,14,14,80,14
135,80,88,80,87,41,88,41
136,80,12,80,12,12,12,12
137,80,69,69,80,69,80,69
138,69,69,76,76,76,76,76
139,42,76,77,77,76,42,77
140,66,76,66,66,74,66,76
141,74,76,87,27,74,76,81
142,74,76,76,74,74,84,44
143,84,38,38,38,84,38,38
144,73,88,88,88,73,61,88
145,73,87,87,88,87,73,73
146,69,69,69,69,69,69,69
147,73,73,73,88,88,73,69
148,73,69,73,69,74,74,74
149,69,80,80,80,69,69,69
150,80,69,69,77,77,69,80
151,44,77,77,74,74,44,44
152,87,77,87,77,77,46,77
153,61,77,77,61,61,61,61
154,77,77,52,77,52,77,52
155,84,86,86,86,86,84,86
156,88,88,65,88,65,65,88
157,59,89,89,80,89,89,89
158,62,77,62,62,62,77,77
159,88,65,85,88,88,88,85
160,65,80,80,80,80,80,65
161,59,86,86,73,73,73,73
162,54,80,80,54,54,54,54
163,77,47,47,47,77,77,47
164,62,74,87,62,62,73,73
165,80,59,80,59,80,80,59
166,80,80,80,59,80,80,59
167,53,53,77,53,77,77,77
168,47,77,47,47,47,77,77
169,66,77,77,75,75,66,75
170,80,86,77,86,80,86,61
171,87,87,87,64,77,77,64
172,87,86,87,89,73,74,86
173,73,60,74,60,74,86,86
174,73,74,74,54,54,73,73
175,87,87,58,58,87,87,87
176,73,87,89,73,87,87,59
177,73,73,73,90,39,73,73
178,30,30,30,80,80,30,30
179,44,44,44,44,44,44,44
180,52,52,80,89,52,80,52
181,86,74,70,74,74,89,87
182,78,80,78,80,78,80,63
183,83,87,83,83,52,83,83
184,74,74,73,87,87,74,66
185,86,86,86,83,86,83,86
186,77,77,73,77,84,84,77
187,47,78,80,80,80,78,73
188,80,73,80,80,89,73,80
189,65,77,75,75,75,75,65
190,62,62,80,62,80,80,89
191,57,57,57,57,57,80,85
192,53,53,80,53,80,80,53
193,80,56,56,80,56,56,80
194,78,78,77,78,77,46,46
195,73,73,73,73,87,57,88
196,80,80,80,80,62,80,80
197,40,80,40,86,80,40,86
198,63,63,88,88,88,63,88
199,80,89,30,89,89,30,89
200,53,53,53,53,83,83,53
201,77,77,73,83,74,74,77
202,77,86,66,86,77,86,86
203,90,90,65,65,65,90,65
204,87,87,58,77,58,77,58
205,80,89,89,89,80,80,89
206,74,87,61,74,75,88,75
207,86,73,63,80,80,80,80
208,83,83,83,77,77,83,47
209,57,77,84,80,77,77,57
210,62,73,74,73,73,74,62
211,89,89,77,89,89,43,89
212,80,61,61,80,61,80,80
213,80,59,59,86,80,59,59
214,89,80,84,84,89,84,84
215,62,62,80,62,80,80,80
216,62,77,62,86,77,77,77
217,83,65,83,65,83,83,65
218,88,88,64,64,64,88,64
219,83,57,57,57,83,83,83
220,77,77,77,86,86,77,69
221,69,69,69,80,69,69,69
222,73,73,87,69,69,69,74
223,69,88,80,80,69,69,88
224,69,69,80,80,80,69,80
225,69,76,77,69,76,69,69
226,63,88,63,73,88,63,63
227,64,73,73,87,64,64,73
228,73,73,55,74,87,55,87
229,74,87,73,73,87,87,74
230,73,87,87,87,87,59,59
231,78,65,77,65,74,78,78
232,77,73,77,73,73,90,90
233,73,65,73,65,65,73,73
234,73,48,73,48,73,73,83
235,77,87,73,77,87,77,73
236,80,80,77,69,80,80,69
237,69,69,69,69,80,69,80
238,60,60,60,77,60,77,77
239,87,78,65,87,80,80,80
240,69,77,69,69,69,69,77
241,89,89,65,86,89,65,89
242,77,77,70,77,77,77,70
243,77,70,77,70,70,77,77
244,80,73,80,73,70,80,70
245,88,89,70,89,80,88,73
246,70,86,70,80,86,80,70
247,76,73,73,73,74,73,74
248,78,77,70,77,77,78,78
249,77,77,77,70,77,70,70
250,70,70,73,73,70,70,87
251,70,77,70,77,77,70,77
252,88,74,73,73,70,70,74
253,70,70,86,80,70,80,70
254,70,78,78,74,73,73,78
255,70,86,86,86,77,77,86
256,86,86,86,77,70,86,86
257,70,73,77,73,77,70,70
258,87,80,87,80,87,80,87
259,70,77,77,70,76,77,76
260,85,70,85,87,88,70,85
261,76,77,70,70,77,76,77
262,70,80,80,80,80,80,80
263,73,73,70,73,70,70,70
264,70,88,70,88,88,70,87
265,63,88,73,88,63,63,73
266,74,73,73,74,73,73,70
267,0,72,0,0,0,0,72
268,80,86,70,80,80,80,70
269,70,70,70,77,77,70,70
270,87,70,70,70,88,70,80
271,70,89,73,87,70,70,89
272,80,80,70,70,80,70,70
273,88,78,78,68,68,73,78
274,68,68,86,77,68,68,77
275,86,80,86,68,80,80,86
276,80,80,68,68,86,80,80
277,80,68,80,80,80,68,68
278,69,86,80,86,69,69,80
279,68,80,80,68,68,68,80
280,69,86,80,69,80,80,69
281,88,67,73,67,88,73,88
282,69,69,69,69,80,80,69
283,80,80,69,86,86,69,80
284,77,77,77,77,86,69,77
285,69,69,80,69,80,69,69
286,89,89,80,80,86,89,86
287,80,69,80,69,69,69,80
288,83,88,88,88,88,69,69
289,84,80,84,84,84,69,69
290,70,77,70,70,77,70,70
291,70,70,88,70,70,88,88
292,70,80,80,80,80,70,70
293,78,70,70,78,78,70,70
294,70,77,70,77,77,77,70
295,88,70,73,70,73,88,88
296,80,80,70,80,80,80,70
297,80,70,80,70,70,80,80
298,88,70,87,87,88,88,88
299,70,78,80,82,70,80,82
300,73,88,73,70,73,73,88
301,70,70,77,70,77,77,77
302,85,78,78,85,85,78,70
303,70,70,80,70,80,80,70
304,76,76,69,74,74,76,74
305,80,70,80,70,80,80,70
306,80,70,70,86,70,86,70
307,70,78,83,85,70,85,78
308,80,80,80,76,70,80,76
309,70,78,78,70,78,70,78
310,70,80,80,70,70,70,70
311,80,80,88,70,70,70,70
312,77,80,80,80,78,80,77
313,73,73,86,80,80,80,70
314,73,73,76,73,73,73,76
315,80,71,80,71,80,80,71
316,80,70,77,80,70,77,77
317,80,66,80,66,66,80,66
318,89,89,66,89,66,66,89
319,86,77,69,77,77,77,86
320,79,79,69,79,79,79,69
321,77,77,77,69,77,69,77
322,88,70,85,70,70,70,70
323,88,73,73,70,88,73,88
324,70,70,70,70,85,85,70
325,80,70,88,88,70,88,88
326,80,80,89,73,80,80,89
327,80,70,70,78,80,85,78
328,70,70,73,88,73,85,88
329,78,88,80,80,71,80,78
330,80,80,80,70,80,70,70
331,74,70,70,70,70,74,70
332,80,88,80,88,80,78,88
333,70,70,85,88,70,88,70
334,70,70,73,73,78,85,85
335,77,70,70,77,70,77,77
336,70,78,78,70,70,78,70
337,80,88,88,80,80,88,77
338,70,70,70,77,70,70,70
339,70,70,70,80,80,80,73
340,80,70,70,70,70,80,80
341,70,70,70,70,70,77,77
342,77,77,77,77,77,85,85
343,73,73,70,83,73,73,83
344,80,80,80,80,70,80,80
345,77,80,70,70,77,77,70
346,80,80,78,70,70,80,78
347,71,71,77,80,77,80,71
348,88,80,80,88,80,80,80
349,73,73,71,71,71,73,88
350,73,71,73,73,73,88,85
351,71,71,71,71,71,71,71
352,77,77,84,77,70,84,84
353,83,71,71,83,83,73,71
354,77,86,86,77,77,86,77
355,88,87,87,71,74,87,71
356,85,85,85,88,80,80,85
357,80,80,80,48,80,80,80
358,73,88,74,70,88,88,87
359,88,88,70,88,88,88,70
360,79,79,70,70,79,70,70
361,70,88,88,78,88,70,78
362,77,71,77,73,77,77,77
363,73,68,68,73,73,68,68
364,77,68,68,68,68,68,77
365,80,68,68,68,68,68,80
366,80,80,68,68,68,80,68
367,68,77,68,68,77,68,68
368,77,69,69,69,69,69,77
369,77,77,69,77,69,69,77
370,69,80,69,80,69,69,80
371,80,80,80,80,86,86,86
372,68,68,68,68,68,77,68
373,73,74,68,68,74,73,73
374,68,73,76,68,68,73,68
375,68,68,80,68,80,68,68
376,77,77,67,67,67,77,67
377,76,76,67,77,67,76,76
378,80,67,80,80,80,67,80
379,68,68,68,68,68,83,68
380,67,74,87,67,73,74,74
381,77,67,67,86,67,86,86
382,77,80,77,67,67,67,77
383,67,67,67,77,77,76,76
384,67,67,67,77,77,67,77
385,77,74,67,77,77,67,73
386,66,66,66,77,77,66,77
387,80,80,66,66,66,80,80
388,77,67,77,73,67,67,67
389,74,74,76,67,74,76,76
390,77,66,77,66,66,77,77
391,66,73,73,66,66,66,73
392,80,66,66,66,66,80,66
393,66,66,66,77,77,77,66
394,67,85,85,77,86,85,86
395,77,66,77,66,77,66,66
396,83,78,83,83,78,77,77
397,73,73,66,73,73,66,73
398,74,74,87,87,76,87,66
399,77,66,77,73,66,73,73
400,67,77,67,76,67,77,77
401,77,77,68,68,77,68,77
402,88,86,88,77,63,63,63
403,62,74,80,74,73,74,73
404,13,13,76,76,13,75,75
405,73,74,85,73,85,74,73
406,88,69,83,88,88,69,88
407,77,77,69,77,77,69,77
408,75,77,75,69,69,75,69
409,69,80,77,77,69,77,77
410,69,69,69,69,77,69,77
411,87,77,77,86,77,77,81
412,69,69,77,69,69,77,69
413,69,69,69,69,69,83,69
414,77,55,77,77,77,55,77
415,77,76,76,48,90,48,90
416,76,80,30,30,80,30,30
417,34,76,76,80,76,34,76
418,76,84,76,84,84,84,75
419,77,76,84,84,76,77,37
420,24,24,75,75,76,75,24
421,69,69,80,86,69,80,80
422,76,69,76,69,76,76,69
423,87,80,87,87,80,76,55
424,69,83,69,69,83,69,69
425,77,77,65,77,77,65,65
426,59,88,75,73,88,89,75
427,35,80,35,80,35,35,80
428,77,77,77,44,44,44,77
429,80,87,24,24,80,80,24
430,77,89,6,77,6,77,89
431,59,74,74,73,73,74,74
432,84,13,75,75,13,84,84
433,62,62,62,77,77,77,62
434,29,29,87,87,29,29,29
435,42,73,73,77,73,77,42
436,54,54,54,54,54,83,83
437,83,83,83,83,83,65,65
438,56,56,56,56,56,56,83
439,83,83,83,83,83,66,66
440,55,55,55,55,83,83,55
441,83,52,52,52,83,52,83
442,63,63,63,83,63,63,63
443,83,83,36,36,83,83,36
444,31,87,31,87,87,87,87
445,18,83,18,83,83,83,83
446,49,83,49,83,49,49,49
447,83,83,83,83,83,83,83
448,49,83,83,49,49,83,83
449,73,74,52,73,74,52,87
450,73,62,73,62,74,73,73
451,77,84,84,77,84,84,86
452,83,73,73,73,83,83,73
453,56,83,73,73,73,56,56
454,80,69,80,69,80,69,80
455,70,70,70,70,73,73,73
456,70,77,70,73,70,70,73
457,76,70,80,80,76,74,74
458,68,68,68,80,80,80,68
459,80,68,80,80,80,68,68
460,68,80,80,68,80,68,68
461,80,80,80,68,68,80,68
462,65,80,65,65,86,80,65
463,74,74,74,74,67,67,74
464,67,80,80,80,80,67,80
465,74,74,74,74,76,74,86
