,age,gender,occupation
1,2,8,29
2,5,9,23
3,2,8,30
4,2,8,29
5,3,9,23
6,4,8,16
7,5,8,10
8,3,8,10
9,2,8,28
10,5,8,19
11,3,9,23
12,2,9,23
13,4,8,13
14,4,8,27
15,4,9,13
16,2,8,15
17,3,8,24
18,3,9,23
19,4,8,20
20,4,9,18
21,2,8,30
22,2,8,30
23,3,9,11
24,2,9,11
25,3,8,14
26,4,8,14
27,4,9,20
28,3,8,30
29,4,8,24
30,0,8,28
31,2,8,11
32,2,9,28
33,2,8,28
34,3,9,10
35,2,9,18
36,1,9,28
37,2,8,28
38,2,9,23
39,4,8,15
40,3,8,27
41,3,8,14
42,3,8,10
43,2,9,20
44,2,8,29
45,2,8,24
46,2,9,21
47,5,8,21
48,4,8,10
49,2,9,28
50,2,8,30
51,2,8,13
52,1,9,28
53,2,8,24
54,2,8,16
55,3,8,24
56,2,8,20
57,1,8,22
58,2,8,24
59,4,8,13
60,5,8,17
61,3,8,14
62,2,9,10
63,3,8,21
64,3,8,13
65,5,9,13
66,2,8,28
67,1,8,28
68,1,8,28
69,2,8,14
70,2,8,14
71,3,8,27
72,4,9,10
73,2,8,28
74,3,8,27
75,2,8,15
76,2,8,28
77,3,8,29
78,2,8,10
79,3,9,10
80,3,9,10
81,2,8,28
82,5,8,24
83,4,8,23
84,3,8,16
85,5,8,13
86,2,8,10
87,4,8,10
88,4,9,20
89,4,9,10
90,6,8,13
91,5,8,21
92,3,8,15
93,4,8,16
94,2,8,28
95,3,8,10
96,2,9,11
97,4,8,11
98,4,9,16
99,2,8,28
100,3,8,16
101,1,8,28
102,3,8,24
103,2,8,28
104,2,8,28
105,2,8,14
106,6,8,25
107,3,8,27
108,4,8,13
109,2,8,23
110,1,8,28
111,5,8,14
112,3,8,26
113,4,8,16
114,2,8,24
115,3,8,14
116,4,8,17
117,2,8,28
118,2,8,10
119,3,8,24
120,4,9,23
121,5,8,20
122,3,9,30
123,4,9,11
124,3,8,28
125,3,8,19
126,2,9,19
127,3,8,22
128,2,9,21
129,3,9,21
130,2,8,22
131,5,9,10
132,2,8,23
133,5,8,14
134,3,8,24
135,2,8,28
136,5,8,23
137,5,8,13
138,4,8,12
139,2,8,28
140,3,9,28
141,4,8,24
142,1,8,23
143,4,8,29
144,5,8,24
145,3,8,15
146,4,8,11
147,4,9,20
148,3,8,14
149,3,9,21
150,2,9,11
151,3,9,10
152,3,9,13
153,2,8,28
154,2,8,28
155,3,9,23
156,2,8,13
157,5,8,14
158,5,8,13
159,2,9,28
160,2,8,24
161,5,8,19
162,2,8,11
163,4,8,10
164,4,8,17
165,2,9,23
166,4,8,13
167,3,8,23
168,4,8,23
169,5,9,23
170,5,9,17
171,4,9,13
172,5,8,21
173,5,8,23
174,3,9,10
175,2,9,27
176,2,8,27
